image_path,xmin,xmax,ymin,ymax,class_id
dataset\0001고핀\0001_00000043.jpg,42,127,44,158,1
dataset\0001고핀\0001_00000007.jpg,137,235,38,159,1
dataset\0001고핀\0001_00000005.jpg,170,267,36,156,1
dataset\0001고핀\0001_00000161.jpg,121,192,103,192,1
dataset\0001고핀\0001_00000003.jpg,168,266,22,143,1
dataset\0001고핀\0001_00000074.jpg,32,99,73,162,1
dataset\0001고핀\0001_00000014.jpg,159,257,38,159,1
dataset\0001고핀\0001_00000123.jpg,160,233,76,164,1
dataset\0001고핀\0001_00000006.jpg,150,247,38,159,1
dataset\0001고핀\0001_00000147.jpg,136,199,61,145,1
dataset\0001고핀\0001_00000010.jpg,128,226,41,162,1
dataset\0001고핀\0001_00000072.jpg,30,97,70,166,1
dataset\0001고핀\0001_00000094.jpg,107,192,45,159,1
dataset\0001고핀\0001_00000097.jpg,96,186,46,166,1
dataset\0001고핀\0001_00000002.jpg,158,255,33,147,1
dataset\0001고핀\0001_00000132.jpg,207,269,85,172,1
dataset\0001고핀\0001_00000124.jpg,162,233,76,163,1
dataset\0001고핀\0001_00000064.jpg,17,92,72,167,1
dataset\0001고핀\0001_00000021.jpg,109,212,8,135,1
dataset\0001고핀\0001_00000130.jpg,194,265,87,174,1
dataset\0001고핀\0001_00000035.jpg,87,172,44,158,1
dataset\0001고핀\0001_00000041.jpg,54,148,40,162,1
dataset\0001고핀\0001_00000107.jpg,136,229,49,174,1
dataset\0001고핀\0001_00000163.jpg,155,226,73,163,1
dataset\0001고핀\0001_00000235.jpg,104,202,6,147,1
dataset\0001고핀\0001_00000173.jpg,143,251,16,119,1
dataset\0001고핀\0001_00000299.jpg,101,179,49,141,1
dataset\0001고핀\0001_00000179.jpg,48,101,89,154,1
dataset\0001고핀\0001_00000208.jpg,162,255,40,117,1
dataset\0001고핀\0001_00000198.jpg,160,242,28,104,1
dataset\0001고핀\0001_00000238.jpg,117,203,45,108,1
dataset\0001고핀\0001_00000243.jpg,70,253,36,175,1
dataset\0001고핀\0001_00000313.jpg,171,234,119,223,1
dataset\0001고핀\0001_00000251.jpg,115,171,62,124,1
dataset\0001고핀\0001_00000287.jpg,115,162,76,140,1
dataset\0001고핀\0001_00000325.jpg,168,261,30,97,1
dataset\0001고핀\0001_00000271.jpg,34,207,42,162,1
dataset\0001고핀\0001_00000320.jpg,117,174,32,100,1
dataset\0001고핀\0001_00000227.jpg,124,168,79,141,1
dataset\0001고핀\0001_00000219.jpg,162,227,50,124,1
dataset\0001고핀\0001_00000205.jpg,160,241,50,139,1
dataset\0001고핀\0001_00000170.jpg,37,212,22,215,1
dataset\0001고핀\0001_00000191.jpg,72,163,34,143,1
dataset\0001고핀\0001_00000309.jpg,50,289,25,242,1
dataset\0001고핀\0001_00000276.jpg,127,216,25,179,1
dataset\0001고핀\0001_00000283.jpg,124,200,52,148,1
dataset\0001고핀\0001_00000272.jpg,69,152,48,108,1
dataset\0001고핀\0001_00000218.jpg,171,293,12,139,1
dataset\0001고핀\0001_00000237.jpg,52,269,10,141,1
dataset\0001고핀\0001_00000248.jpg,50,133,38,105,1
dataset\0001고핀\0001_00000174.jpg,164,246,18,107,1
dataset\0001고핀\0001_00000296.jpg,187,283,24,115,1
dataset\0001고핀\0001_00000297.jpg,154,270,28,243,1
dataset\0001고핀\0001_00000223.jpg,190,262,64,140,1
dataset\0001고핀\0001_00000194.jpg,53,160,20,95,1
dataset\0001고핀\0001_00000216.jpg,76,150,168,243,1
dataset\0001고핀\0001_00000333.jpg,125,233,10,111,1
dataset\0001고핀\0001_00000324.jpg,162,262,52,239,1
dataset\0001고핀\0001_00000224.jpg,133,190,58,141,1
dataset\0001고핀\0001_00000213.jpg,132,202,70,145,1
dataset\0001고핀\0001_00000267.jpg,64,162,21,120,1
dataset\0001고핀\0001_00000232.jpg,176,287,9,121,1
dataset\0001고핀\0001_00000199.jpg,108,166,62,132,1
dataset\0001고핀\0001_00000321.jpg,188,249,61,154,1
dataset\0001고핀\0001_00000285.jpg,131,192,70,136,1
dataset\0001고핀\0001_00000187.jpg,44,167,13,100,1
dataset\0001고핀\0001_00000236.jpg,79,152,6,99,1
dataset\0001고핀\0001_00000292.jpg,129,182,80,131,1
dataset\0001고핀\0001_00000306.jpg,116,263,5,113,1
dataset\0001고핀\0001_00000212.jpg,97,186,42,115,1
dataset\0001고핀\0001_00000281.jpg,84,156,132,219,1
dataset\0001고핀\0001_00000273.jpg,123,218,24,95,1
dataset\0001고핀\0001_00000303.jpg,120,162,140,194,1
dataset\0001고핀\0001_00000249.jpg,112,199,91,139,1
dataset\0001고핀\0001_00000225.jpg,80,208,5,88,1
dataset\0001고핀\0001_00000291.jpg,163,250,26,91,1
dataset\0001고핀\0001_00000328.jpg,56,159,4,76,1
dataset\0001고핀\0001_00000202.jpg,116,214,54,167,1
dataset\0001고핀\0001_00000240.jpg,108,176,38,124,1
dataset\0001고핀\0001_00000264.jpg,145,194,38,105,1
dataset\0001고핀\0001_00000215.jpg,52,207,66,186,1
dataset\0001고핀\0001_00000196.jpg,144,210,37,115,1
dataset\0001고핀\0001_00000195.jpg,111,180,34,103,1
dataset\0001고핀\0001_00000318.jpg,109,250,16,96,1
dataset\0001고핀\0001_00000326.jpg,156,249,28,95,1
dataset\0001고핀\0001_00000261.jpg,133,186,60,129,1
dataset\0001고핀\0001_00000192.jpg,143,230,37,140,1
dataset\0001고핀\0001_00000319.jpg,83,136,91,162,1
dataset\0001고핀\0001_00000323.jpg,89,274,12,246,1
dataset\0001고핀\0001_00000284.jpg,60,188,26,179,1
dataset\0001고핀\0001_00000247.jpg,77,124,92,171,1
dataset\0001고핀\0001_00000275.jpg,72,152,183,261,1
dataset\0001고핀\0001_00000226.jpg,145,203,42,141,1
dataset\0001고핀\0001_00000262.jpg,144,211,36,113,1
dataset\0001고핀\0001_00000317.jpg,75,215,10,83,1
dataset\0001고핀\0001_00000171.jpg,89,289,14,188,1
dataset\0001고핀\0001_00000186.jpg,73,141,72,140,1
dataset\0001고핀\0001_00000233.jpg,108,238,26,140,1
dataset\0001고핀\0001_00000230.jpg,60,245,57,184,1
dataset\0001고핀\0001_00000220.jpg,66,163,54,167,1
dataset\0001고핀\0001_00000221.jpg,171,293,9,103,1
dataset\0001고핀\0001_00000307.jpg,99,219,14,163,1
dataset\0001고핀\0001_00000181.jpg,57,172,24,113,1
dataset\0001고핀\0001_00000168.jpg,128,204,34,112,1
dataset\0001고핀\0001_00000231.jpg,120,258,8,101,1
dataset\0001고핀\0001_00000310.jpg,112,225,22,99,1
dataset\0001고핀\0001_00000193.jpg,132,239,17,92,1
dataset\0001고핀\0001_00000314.jpg,53,219,24,116,1
dataset\0001고핀\0001_00000286.jpg,92,154,76,148,1
dataset\0001고핀\0001_00000167.jpg,105,167,65,132,1
dataset\0001고핀\0001_00000278.jpg,160,219,42,101,1
dataset\0001고핀\0001_00000204.jpg,117,198,45,133,1
dataset\0001고핀\0001_00000277.jpg,85,190,18,87,1
dataset\0001고핀\0001_00000190.jpg,116,226,45,113,1
dataset\0001고핀\0001_00000228.jpg,50,141,26,112,1
dataset\0001고핀\0001_00000279.jpg,112,184,13,73,1
dataset\0001고핀\0001_00000200.jpg,103,178,46,136,1
dataset\0001고핀\0001_00000234.jpg,91,188,30,156,1
dataset\0001고핀\0001_00000229.jpg,124,184,20,120,1
dataset\0001고핀\0001_00000308.jpg,160,246,20,107,1
dataset\0001고핀\0001_00000176.jpg,136,285,12,164,1
dataset\0001고핀\0001_00000260.jpg,75,291,26,235,1
dataset\0001고핀\0001_00000268.jpg,155,199,44,113,1
dataset\0001고핀\0001_00000258.jpg,88,167,5,88,1
dataset\0001고핀\0001_00000241.jpg,66,127,107,187,1
dataset\0001고핀\0001_00000253.jpg,28,145,13,103,1
dataset\0001고핀\0001_00000203.jpg,101,194,48,163,1
dataset\0001고핀\0001_00000315.jpg,121,195,38,135,1
dataset\0001고핀\0001_00000201.jpg,141,275,22,133,1
dataset\0001고핀\0001_00000255.jpg,111,162,77,150,1
dataset\0001고핀\0001_00000239.jpg,97,242,14,105,1
dataset\0001고핀\0001_00000332.jpg,77,290,17,180,1
dataset\0001고핀\0001_00000331.jpg,92,227,21,115,1
dataset\0001고핀\0001_00000172.jpg,42,125,52,141,1
dataset\0001고핀\0001_00000177.jpg,212,281,18,120,1
dataset\0001고핀\0001_00000189.jpg,160,258,38,111,1
dataset\0001고핀\0001_00000197.jpg,148,226,38,125,1
dataset\0001고핀\0001_00000288.jpg,42,141,54,137,1
dataset\0001고핀\0001_00000209.jpg,140,235,14,93,1
dataset\0001고핀\0001_00000185.jpg,77,154,6,95,1
dataset\0002듀컵\0002_00000093.jpg,107,273,10,168,2
dataset\0002듀컵\0002_00000216.jpg,79,207,29,175,2
dataset\0002듀컵\0002_00000037.jpg,108,218,20,141,2
dataset\0002듀컵\0002_00000171.jpg,96,279,4,145,2
dataset\0002듀컵\0002_00000084.jpg,108,274,25,184,2
dataset\0002듀컵\0002_00000205.jpg,81,234,6,141,2
dataset\0002듀컵\0002_00000073.jpg,141,251,2,121,2
dataset\0002듀컵\0002_00000124.jpg,117,289,12,171,2
dataset\0002듀컵\0002_00000030.jpg,101,211,21,143,2
dataset\0002듀컵\0002_00000117.jpg,113,289,36,186,2
dataset\0002듀컵\0002_00000150.jpg,143,290,14,158,2
dataset\0002듀컵\0002_00000161.jpg,131,290,8,144,2
dataset\0002듀컵\0002_00000146.jpg,143,278,10,159,2
dataset\0002듀컵\0002_00000038.jpg,112,222,18,140,2
dataset\0002듀컵\0002_00000033.jpg,108,218,21,143,2
dataset\0002듀컵\0002_00000132.jpg,131,293,10,162,2
dataset\0002듀컵\0002_00000181.jpg,99,291,26,195,2
dataset\0002듀컵\0002_00000191.jpg,111,291,75,241,2
dataset\0002듀컵\0002_00000139.jpg,125,283,36,192,2
dataset\0002듀컵\0002_00000134.jpg,140,290,14,163,2
dataset\0002듀컵\0002_00000202.jpg,105,291,5,167,2
dataset\0002듀컵\0002_00000083.jpg,96,279,21,176,2
dataset\0002듀컵\0002_00000075.jpg,150,259,4,139,2
dataset\0002듀컵\0002_00000144.jpg,132,274,21,170,2
dataset\0002듀컵\0002_00000193.jpg,107,291,61,222,2
dataset\0002듀컵\0002_00000158.jpg,125,289,6,141,2
dataset\0002듀컵\0002_00000091.jpg,111,274,12,168,2
dataset\0002듀컵\0002_00000026.jpg,95,204,20,141,2
dataset\0002듀컵\0002_00000000.jpg,79,188,4,125,2
dataset\0002듀컵\0002_00000014.jpg,83,192,17,139,2
dataset\0002듀컵\0002_00000228.jpg,117,199,29,131,2
dataset\0002듀컵\0002_00000174.jpg,103,277,5,140,2
dataset\0002듀컵\0002_00000001.jpg,77,187,5,127,2
dataset\0002듀컵\0002_00000019.jpg,84,194,22,144,2
dataset\0002듀컵\0002_00000088.jpg,108,279,16,172,2
dataset\0002듀컵\0002_00000168.jpg,100,283,4,145,2
dataset\0002듀컵\0002_00000036.jpg,107,216,17,139,2
dataset\0002듀컵\0002_00000046.jpg,133,243,38,160,2
dataset\0002듀컵\0002_00000072.jpg,129,239,4,123,2
dataset\0002듀컵\0002_00000015.jpg,84,194,18,140,2
dataset\0002듀컵\0002_00000108.jpg,119,290,2,162,2
dataset\0002듀컵\0002_00000032.jpg,104,214,17,139,2
dataset\0002듀컵\0002_00000122.jpg,119,291,25,184,2
dataset\0002듀컵\0002_00000099.jpg,99,277,9,166,2
dataset\0002듀컵\0002_00000023.jpg,93,203,21,143,2
dataset\0002듀컵\0002_00000087.jpg,112,283,16,175,2
dataset\0002듀컵\0002_00000114.jpg,119,289,10,166,2
dataset\0002듀컵\0002_00000090.jpg,107,275,12,168,2
dataset\0002듀컵\0002_00000119.jpg,113,290,38,190,2
dataset\0002듀컵\0002_00000106.jpg,109,287,4,166,2
dataset\0002듀컵\0002_00000227.jpg,103,241,6,116,2
dataset\0002듀컵\0002_00000169.jpg,97,281,6,148,2
dataset\0002듀컵\0002_00000021.jpg,85,195,20,141,2
dataset\0002듀컵\0002_00000195.jpg,108,293,49,215,2
dataset\0002듀컵\0002_00000167.jpg,100,283,5,147,2
dataset\0002듀컵\0002_00000196.jpg,113,290,41,207,2
dataset\0002듀컵\0002_00000222.jpg,88,227,50,191,2
dataset\0002듀컵\0002_00000208.jpg,76,220,12,143,2
dataset\0002듀컵\0002_00000201.jpg,108,290,16,178,2
dataset\0002듀컵\0002_00000031.jpg,107,216,18,140,2
dataset\0002듀컵\0002_00000045.jpg,133,243,37,159,2
dataset\0002듀컵\0002_00000225.jpg,100,242,16,117,2
dataset\0002듀컵\0002_00000053.jpg,117,227,29,151,2
dataset\0002듀컵\0002_00000206.jpg,85,227,8,137,2
dataset\0002듀컵\0002_00000215.jpg,83,211,25,164,2
dataset\0002듀컵\0002_00000039.jpg,112,222,17,139,2
dataset\0002듀컵\0002_00000209.jpg,75,223,9,143,2
dataset\0002듀컵\0002_00000125.jpg,117,289,6,158,2
dataset\0002듀컵\0002_00000085.jpg,101,279,22,176,2
dataset\0002듀컵\0002_00000049.jpg,128,238,36,158,2
dataset\0002듀컵\0002_00000041.jpg,120,230,21,143,2
dataset\0002듀컵\0002_00000064.jpg,101,211,20,141,2
dataset\0002듀컵\0002_00000067.jpg,91,200,1,123,2
dataset\0002듀컵\0002_00000007.jpg,72,182,10,132,2
dataset\0002듀컵\0002_00000151.jpg,135,291,13,156,2
dataset\0002듀컵\0002_00000101.jpg,117,279,6,163,2
dataset\0002듀컵\0002_00000159.jpg,125,291,5,148,2
dataset\0002듀컵\0002_00000057.jpg,107,216,32,154,2
dataset\0002듀컵\0002_00000210.jpg,79,216,9,148,2
dataset\0002듀컵\0002_00000233.jpg,115,245,24,101,2
dataset\0002듀컵\0002_00000223.jpg,109,269,16,145,2
dataset\0002듀컵\0002_00000105.jpg,107,279,2,159,2
dataset\0002듀컵\0002_00000200.jpg,100,290,26,191,2
dataset\0002듀컵\0002_00000187.jpg,103,291,77,241,2
dataset\0002듀컵\0002_00000177.jpg,97,290,12,147,2
dataset\0002듀컵\0002_00000060.jpg,103,212,26,148,2
dataset\0002듀컵\0002_00000211.jpg,76,216,10,150,2
dataset\0002듀컵\0002_00000086.jpg,103,279,25,179,2
dataset\0002듀컵\0002_00000025.jpg,92,202,20,141,2
dataset\0002듀컵\0002_00000129.jpg,123,297,2,145,2
dataset\0002듀컵\0002_00000123.jpg,119,290,17,182,2
dataset\0002듀컵\0002_00000212.jpg,80,214,13,152,2
dataset\0002듀컵\0002_00000217.jpg,69,214,34,172,2
dataset\0002듀컵\0002_00000141.jpg,120,278,33,190,2
dataset\0002듀컵\0002_00000020.jpg,87,196,20,141,2
dataset\0002듀컵\0002_00000004.jpg,77,187,4,125,2
dataset\0002듀컵\0002_00000070.jpg,81,191,0,119,2
dataset\0002듀컵\0002_00000069.jpg,80,190,2,121,2
dataset\0002듀컵\0002_00000199.jpg,105,291,40,200,2
dataset\0002듀컵\0002_00000173.jpg,104,278,5,140,2
dataset\0002듀컵\0002_00000121.jpg,116,289,32,186,2
dataset\0002듀컵\0002_00000074.jpg,145,255,4,123,2
dataset\0002듀컵\0002_00000192.jpg,107,291,69,230,2
dataset\0002듀컵\0002_00000143.jpg,123,273,28,176,2
dataset\0002듀컵\0002_00000005.jpg,70,180,4,125,2
dataset\0002듀컵\0002_00000213.jpg,83,214,17,156,2
dataset\0002듀컵\0002_00000048.jpg,133,243,36,158,2
dataset\0002듀컵\0002_00000092.jpg,112,271,9,168,2
dataset\0002듀컵\0002_00000176.jpg,112,286,5,140,2
dataset\0002듀컵\0002_00000017.jpg,83,192,20,141,2
dataset\0002듀컵\0002_00000128.jpg,132,294,2,148,2
dataset\0002듀컵\0002_00000103.jpg,108,279,6,170,2
dataset\0002듀컵\0002_00000178.jpg,101,298,12,150,2
dataset\0002듀컵\0002_00000185.jpg,111,293,69,234,2
dataset\0002듀컵\0002_00000160.jpg,124,290,8,144,2
dataset\0002듀컵\0002_00000153.jpg,125,289,8,150,2
dataset\0002듀컵\0002_00000133.jpg,135,291,12,160,2
dataset\0002듀컵\0002_00000118.jpg,113,289,40,190,2
dataset\0002듀컵\0002_00000059.jpg,103,212,29,151,2
dataset\0002듀컵\0002_00000063.jpg,100,210,20,141,2
dataset\0002듀컵\0002_00000157.jpg,133,291,8,136,2
dataset\0002듀컵\0002_00000127.jpg,125,290,2,156,2
dataset\0002듀컵\0002_00000080.jpg,112,271,6,175,2
dataset\0002듀컵\0002_00000224.jpg,131,278,29,133,2
dataset\0002듀컵\0002_00000131.jpg,133,291,12,160,2
dataset\0002듀컵\0002_00000065.jpg,97,207,9,131,2
dataset\0002듀컵\0002_00000148.jpg,148,283,14,158,2
dataset\0002듀컵\0002_00000116.jpg,113,287,29,176,2
dataset\0002듀컵\0002_00000203.jpg,109,286,6,156,2
dataset\0002듀컵\0002_00000062.jpg,100,210,20,141,2
dataset\0002듀컵\0002_00000198.jpg,112,289,34,199,2
dataset\0002듀컵\0002_00000140.jpg,124,282,33,190,2
dataset\0002듀컵\0002_00000149.jpg,154,289,14,158,2
dataset\0002듀컵\0002_00000204.jpg,112,289,5,152,2
dataset\0002듀컵\0002_00000098.jpg,116,273,12,163,2
dataset\0002듀컵\0002_00000126.jpg,120,286,2,156,2
dataset\0002듀컵\0002_00000145.jpg,137,273,16,164,2
dataset\0002듀컵\0002_00000022.jpg,88,198,22,144,2
dataset\0002듀컵\0002_00000226.jpg,85,229,8,123,2
dataset\0002듀컵\0002_00000164.jpg,107,286,6,159,2
dataset\0002듀컵\0002_00000056.jpg,108,218,32,154,2
dataset\0002듀컵\0002_00000047.jpg,133,243,37,159,2
dataset\0002듀컵\0002_00000010.jpg,77,187,13,135,2
dataset\0002듀컵\0002_00000170.jpg,96,279,4,145,2
dataset\0002듀컵\0002_00000194.jpg,104,289,48,214,2
dataset\0002듀컵\0002_00000071.jpg,80,190,0,119,2
dataset\0002듀컵\0002_00000186.jpg,104,293,73,237,2
dataset\0002듀컵\0002_00000089.jpg,105,275,13,174,2
dataset\0002듀컵\0002_00000111.jpg,117,294,2,148,2
dataset\0002듀컵\0002_00000182.jpg,104,286,37,208,2
dataset\0002듀컵\0002_00000094.jpg,111,270,12,166,2
dataset\0002듀컵\0002_00000230.jpg,124,257,61,147,2
dataset\0002듀컵\0002_00000042.jpg,121,231,25,147,2
dataset\0002듀컵\0002_00000011.jpg,81,191,17,139,2
dataset\0002듀컵\0002_00000044.jpg,131,241,32,154,2
dataset\0002듀컵\0002_00000197.jpg,121,293,34,200,2
dataset\0002듀컵\0002_00000110.jpg,121,295,2,150,2
dataset\0002듀컵\0002_00000142.jpg,127,277,36,184,2
dataset\0002듀컵\0002_00000012.jpg,80,190,17,139,2
dataset\0002듀컵\0002_00000077.jpg,162,267,2,132,2
dataset\0002듀컵\0002_00000175.jpg,105,279,4,139,2
dataset\0002듀컵\0002_00000076.jpg,158,267,2,133,2
dataset\0002듀컵\0002_00000112.jpg,121,293,5,151,2
dataset\0002듀컵\0002_00000050.jpg,125,235,36,158,2
dataset\0002듀컵\0002_00000003.jpg,79,188,1,123,2
dataset\0002듀컵\0002_00000437.jpg,89,186,5,140,2
dataset\0002듀컵\0002_00000277.jpg,104,230,6,103,2
dataset\0002듀컵\0002_00000366.jpg,41,237,46,239,2
dataset\0002듀컵\0002_00000271.jpg,77,274,8,206,2
dataset\0002듀컵\0002_00000421.jpg,92,191,20,166,2
dataset\0002듀컵\0002_00000434.jpg,104,178,34,129,2
dataset\0002듀컵\0002_00000429.jpg,116,207,75,172,2
dataset\0002듀컵\0002_00000408.jpg,121,211,2,129,2
dataset\0002듀컵\0002_00000275.jpg,104,216,65,190,2
dataset\0002듀컵\0002_00000463.jpg,99,164,41,132,2
dataset\0002듀컵\0002_00000251.jpg,99,219,10,123,2
dataset\0002듀컵\0002_00000406.jpg,121,237,32,105,2
dataset\0002듀컵\0002_00000326.jpg,137,263,52,167,2
dataset\0002듀컵\0002_00000316.jpg,54,183,57,182,2
dataset\0002듀컵\0002_00000393.jpg,100,180,9,91,2
dataset\0002듀컵\0002_00000304.jpg,40,204,6,133,2
dataset\0002듀컵\0002_00000290.jpg,60,172,62,207,2
dataset\0002듀컵\0002_00000392.jpg,109,182,45,139,2
dataset\0002듀컵\0002_00000338.jpg,96,196,8,140,2
dataset\0002듀컵\0002_00000253.jpg,60,246,22,174,2
dataset\0002듀컵\0002_00000243.jpg,75,175,33,141,2
dataset\0002듀컵\0002_00000364.jpg,113,238,18,107,2
dataset\0002듀컵\0002_00000441.jpg,108,231,45,148,2
dataset\0002듀컵\0002_00000296.jpg,28,145,46,154,2
dataset\0002듀컵\0002_00000422.jpg,96,274,6,206,2
dataset\0002듀컵\0002_00000330.jpg,84,289,6,202,2
dataset\0002듀컵\0002_00000358.jpg,34,168,9,127,2
dataset\0002듀컵\0002_00000391.jpg,107,192,33,141,2
dataset\0002듀컵\0002_00000455.jpg,112,176,36,115,2
dataset\0002듀컵\0002_00000295.jpg,168,291,81,200,2
dataset\0002듀컵\0002_00000354.jpg,9,115,49,148,2
dataset\0002듀컵\0002_00000342.jpg,85,184,44,180,2
dataset\0002듀컵\0002_00000300.jpg,117,183,72,163,2
dataset\0002듀컵\0002_00000457.jpg,111,186,37,129,2
dataset\0002듀컵\0002_00000323.jpg,53,158,26,172,2
dataset\0002듀컵\0002_00000313.jpg,113,207,87,194,2
dataset\0002듀컵\0002_00000426.jpg,116,192,10,145,2
dataset\0002듀컵\0002_00000329.jpg,64,150,49,155,2
dataset\0002듀컵\0002_00000445.jpg,97,176,8,132,2
dataset\0002듀컵\0002_00000254.jpg,16,131,32,108,2
dataset\0002듀컵\0002_00000332.jpg,170,219,79,125,2
dataset\0002듀컵\0002_00000413.jpg,109,176,42,171,2
dataset\0002듀컵\0002_00000248.jpg,42,188,64,150,2
dataset\0002듀컵\0002_00000371.jpg,100,190,48,147,2
dataset\0002듀컵\0002_00000249.jpg,65,170,93,158,2
dataset\0002듀컵\0002_00000320.jpg,125,218,8,148,2
